etykieta_oryginalna;etykieta_przezn;count;grupa_glowna
ZZ;ZZ;60;Z
S5ZO1;S5ZO1;60;Z
ZP;ZP;60;Z
S7ZP1;S7ZP1;58;Z
2Zn;2Zn;56;Z
2ZD;2ZD;50;Z
S5ZI1;S5ZI1;50;Z
4ZP;4ZP;48;Z
1ZN;1ZN;48;Z
1ZD;1ZD;48;Z
5ZN;5ZN;48;Z
3ZU;3ZU;48;Z
2ZU;2ZU;46;Z
7ZP;7ZP;46;Z
2ZI;2ZI;44;Z
9ZP;9ZP;44;Z
5ZP;5ZP;42;Z
S5ZI4;S5ZI4;36;Z
8ZP;8ZP;24;Z
ZI5;ZI5;18;Z
ZN.03;ZN.03;16;Z
30ZN;30ZN;16;Z
US3;US3;2258;U
US5;US5;1984;U
US2;US2;1346;U
US4;US4;1322;U
US1;US1;1074;U
US14;US14;960;U
UKs1;UKs1;882;U
US8;US8;806;U
S6US7;S6US7;722;U
1U;1U;672;U
S5US2;S5US2;532;U
US6;US6;510;U
US7;US7;450;U
US15;US15;438;U
3U;3U;434;U
1US;1US;422;U
US9;US9;418;U
US10;US10;412;U
1U,P;1U,P;394;U
S6US6;S6US6;390;U
S6US1;S6US1;388;U
US12;US12;384;U
1UP;1UP;370;U
S5US15;S5US15;368;U
2U;2U;310;U
S6US12;S6US12;280;U
S5US3;S5US3;278;U
US;US;272;U
S1US2;S1US2;270;U
S7US2;S7US2;270;U
S1UT2;S1UT2;248;U
S4US7;S4US7;240;U
US11;US11;238;U
S2UT3;S2UT3;234;U
S1US4;S1US4;232;U
1UE-US-UK;1UE-US-UK;230;U
S2US1;S2US1;226;U
S4US4;S4US4;220;U
S1UT1;S1UT1;212;U
S6US13;S6US13;210;U
S3US5;S3US5;208;U
UT2;UT2;186;U
S2UT1;S2UT1;184;U
S5US4;S5US4;178;U
S6US5;S6US5;176;U
S5US11;S5US11;174;U
US19;US19;172;U
US17;US17;164;U
S3US3;S3US3;156;U
S5UKs1;S5UKs1;146;U
S7US4;S7US4;144;U
S6UKs1;S6UKs1;144;U
2UP;2UP;140;U
S7US8;S7US8;140;U
1U/MW;1U/MW;138;U
UZ1;UZ1;134;U
S2UT4;S2UT4;134;U
S6US2;S6US2;126;U
S5US8;S5US8;126;U
US18;US18;126;U
S4US5;S4US5;124;U
S6US8;S6US8;124;U
S3US8;S3US8;122;U
S4US2;S4US2;120;U
S3US2;S3US2;116;U
S5US12;S5US12;112;U
S6US14;S6US14;112;U
US22;US22;110;U
S6US11;S6US11;108;U
S5UKs3;S5UKs3;108;U
S6US9;S6US9;106;U
2U/MW;2U/MW;106;U
US21;US21;106;U
S7US6;S7US6;102;U
S5UKs2;S5UKs2;98;U
S3US6;S3US6;98;U
S4US1;S4US1;98;U
S5US14;S5US14;96;U
S3US1;S3US1;96;U
S3US4;S3US4;96;U
5U,MW;5U,MW;96;U
S6US4;S6US4;94;U
UU.01;UU.01;94;U
S5US17;S5US17;92;U
S3US7;S3US7;92;U
S4UKs;S4UKs;92;U
US20;US20;92;U
US6,MU52;US6,MU52;90;U
US13;US13;90;U
S2US2;S2US2;88;U
S2US4;S2US4;82;U
S7US1;S7US1;80;U
US1,KS1;US1,KS1;80;U
S1US1;S1US1;80;U
S7US3;S7US3;80;U
S6US3;S6US3;78;U
S5US1;S5US1;78;U
1UKS;1UKS;78;U
S7US9;S7US9;76;U
S5US16;S5US16;76;U
S2UT2;S2UT2;72;U
S4US8;S4US8;72;U
U2;U2;72;U
S5US9;S5US9;70;U
S1US3;S1US3;66;U
1U,MW;1U,MW;64;U
S4UK,UT;S4UK,UT;64;U
4U;4U;62;U
S5US18;S5US18;62;U
S2UK;S2UK;60;U
S2US3;S2US3;60;U
U1;U1;56;U
1UT;1UT;54;U
S4US3;S4US3;50;U
S7US7;S7US7;48;U
S5US13;S5US13;48;U
UT4;UT4;46;U
UKs2;UKs2;44;U
2U,MW;2U,MW;38;U
S4US6;S4US6;38;U
S5UK1;S5UK1;32;U
2US;2US;32;U
UTP;UTP;30;U
4U,MW;4U,MW;26;U
3US;3US;16;U
1UC/U;1UC/U;14;U
3U,MW;3U,MW;14;U
E7;E7;1956;I
E 7;E 7;794;I
EE1;EE1;332;I
EE2;EE2;250;I
EE;EE;234;I
EE4;EE4;218;I
EE3;EE3;216;I
EE6;EE6;162;I
EE5;EE5;158;I
EE7;EE7;156;I
EE8;EE8;140;I
EE16;EE16;112;I
1IE;1IE;96;I
EE13;EE13;84;I
1ITG;1ITG;84;I
